champion_name,tier,win_ratio,ban_ratio,pick_ratio,annie,olaf,galio,twistedfate,xinzhao,urgot,leblanc,vladimir,fiddlesticks,kayle,masteryi,alistar,ryze,sion,sivir,soraka,teemo,tristana,warwick,nunu,missfortune,ashe,tryndamere,jax,morgana,zilean,singed,evelynn,twitch,karthus,chogath,amumu,rammus,anivia,shaco,drmundo,sona,kassadin,irelia,janna,gangplank,corki,karma,taric,veigar,trundle,swain,caitlyn,blitzcrank,malphite,katarina,nocturne,maokai,renekton,jarvaniv,elise,orianna,monkeyking,brand,leesin,vayne,rumble,cassiopeia,skarner,heimerdinger,nasus,nidalee,udyr,poppy,gragas,pantheon,ezreal,mordekaiser,yorick,akali,kennen,garen,leona,malzahar,talon,riven,kogmaw,shen,lux,xerath,shyvana,ahri,graves,fizz,volibear,rengar,varus,nautilus,viktor,sejuani,fiora,ziggs,lulu,draven,hecarim,khazix,darius,jayce,lissandra,diana,quinn,syndra,aurelionsol,kayn,zoe,zyra,kaisa,seraphine,gnar,zac,yasuo,velkoz,taliyah,akshan,camille,braum,jhin,kindred,jinx,tahmkench,viego,senna,lucian,zed,kled,ekko,qiyana,vi,aatrox,nami,azir,yuumi,samira,thresh,illaoi,ksante,ivern,kalista,bard,rakan,xayah,ornn,sylas,rell,neeko,aphelios,pyke,sett,vex,yone,gwen,lillia,hwei,briar,naafiri,milio,nilah,belveth,renata,zeri
xinzhao,2 Tier,0.5065,0.0298,0.0759,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.62,-1.0,48.97,-1.0,-1.0,-1.0,-1.0,-1.0,43.98,-1.0,49.27,53.95,-1.0,-1.0,-1.0,45.16,-1.0,-1.0,-1.0,51.38,-1.0,54.59,-1.0,50.39,47.94,-1.0,52.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.82,-1.0,-1.0,-1.0,-1.0,-1.0,48.14,55.38,-1.0,53.28,49.13,-1.0,48.16,46.91,52.03,-1.0,47.13,-1.0,-1.0,-1.0,-1.0,55.78,50.77,50.67,55.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.72,-1.0,-1.0,-1.0,-1.0,-1.0,48.26,-1.0,48.56,-1.0,50.0,55.87,-1.0,-1.0,-1.0,50.64,-1.0,-1.0,-1.0,-1.0,54.03,52.61,-1.0,-1.0,-1.0,53.94,-1.0,-1.0,-1.0,51.35,-1.0,-1.0,-1.0,-1.0,-1.0,53.05,-1.0,-1.0,54.22,-1.0,-1.0,-1.0,-1.0,54.42,-1.0,-1.0,49.49,-1.0,-1.0,50.0,-1.0,48.54,-1.0,48.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.08,-1.0,-1.0,-1.0,-1.0,-1.0,57.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.1,-1.0,48.3,-1.0,-1.0,-1.0,48.78,-1.0,-1.0
fiddlesticks,4 Tier,0.4941,0.0126,0.0273,-1.0,-1.0,-1.0,-1.0,46.65,-1.0,-1.0,-1.0,-1.0,-1.0,48.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.26,46.89,-1.0,-1.0,-1.0,47.52,-1.0,-1.0,-1.0,53.64,-1.0,60.61,-1.0,57.83,55.77,-1.0,50.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.9,-1.0,-1.0,-1.0,-1.0,-1.0,46.92,60.98,-1.0,45.86,-1.0,-1.0,47.92,45.94,48.67,-1.0,52.94,-1.0,-1.0,-1.0,-1.0,58.97,55.77,47.78,56.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.44,-1.0,-1.0,-1.0,-1.0,-1.0,48.78,-1.0,51.08,-1.0,-1.0,52.44,-1.0,-1.0,-1.0,44.07,-1.0,-1.0,-1.0,-1.0,48.85,48.52,-1.0,-1.0,-1.0,49.92,-1.0,-1.0,-1.0,51.8,-1.0,-1.0,-1.0,-1.0,-1.0,41.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,44.02,-1.0,-1.0,57.58,-1.0,48.12,-1.0,47.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.19,-1.0,-1.0,-1.0,-1.0,-1.0,52.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.23,-1.0,40.22,-1.0,-1.0,-1.0,49.62,-1.0,-1.0
masteryi,OP Tier,0.514,0.17800000000000002,0.0904,-1.0,-1.0,-1.0,-1.0,51.72,-1.0,-1.0,-1.0,51.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.42,-1.0,47.21,54.53,-1.0,-1.0,-1.0,47.31,-1.0,-1.0,-1.0,50.64,-1.0,57.84,-1.0,50.61,47.41,-1.0,50.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.28,-1.0,-1.0,-1.0,-1.0,-1.0,49.49,50.78,-1.0,55.87,46.98,-1.0,50.16,50.08,51.54,-1.0,53.95,-1.0,-1.0,-1.0,-1.0,53.56,52.62,58.81,54.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.6,-1.0,-1.0,-1.0,-1.0,-1.0,53.73,-1.0,51.21,-1.0,55.56,54.71,-1.0,-1.0,-1.0,53.59,-1.0,-1.0,-1.0,-1.0,55.26,50.94,-1.0,-1.0,-1.0,54.67,-1.0,-1.0,-1.0,53.89,-1.0,-1.0,-1.0,-1.0,-1.0,48.37,-1.0,-1.0,53.37,-1.0,-1.0,-1.0,-1.0,50.99,-1.0,-1.0,50.33,-1.0,-1.0,52.27,-1.0,49.52,-1.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.55,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.24,-1.0,49.36,-1.0,-1.0,-1.0,54.28,-1.0,-1.0
teemo,2 Tier,0.5343,0.0269,0.0163,-1.0,-1.0,-1.0,-1.0,56.85,-1.0,-1.0,-1.0,45.71,-1.0,54.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.62,50.91,-1.0,-1.0,-1.0,47.97,-1.0,-1.0,-1.0,54.52,-1.0,58.27,-1.0,52.96,49.65,-1.0,57.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.76,-1.0,-1.0,53.54,49.38,-1.0,66.67,55.73,55.09,-1.0,53.66,-1.0,-1.0,-1.0,-1.0,61.04,55.29,51.79,47.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.57,-1.0,-1.0,55.51,-1.0,-1.0,-1.0,53.7,-1.0,-1.0,-1.0,-1.0,61.76,48.65,-1.0,-1.0,-1.0,50.83,-1.0,-1.0,-1.0,51.22,-1.0,-1.0,-1.0,-1.0,-1.0,53.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.71,-1.0,-1.0,57.97,-1.0,-1.0,48.57,-1.0,55.28,-1.0,52.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.93,-1.0,51.53,-1.0,-1.0,-1.0,52.34,-1.0,-1.0
warwick,3 Tier,0.5072,0.0223,0.0475,-1.0,-1.0,-1.0,-1.0,50.47,-1.0,-1.0,-1.0,52.14,-1.0,52.31,-1.0,-1.0,-1.0,-1.0,-1.0,50.3,-1.0,-1.0,54.87,-1.0,-1.0,-1.0,45.39,-1.0,-1.0,-1.0,53.88,-1.0,45.68,-1.0,47.82,53.22,-1.0,46.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.45,-1.0,-1.0,-1.0,-1.0,-1.0,48.8,56.71,-1.0,51.75,59.55,-1.0,48.57,49.25,53.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.02,49.09,55.88,58.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.51,-1.0,-1.0,-1.0,-1.0,-1.0,55.67,-1.0,48.7,-1.0,50.5,54.69,-1.0,-1.0,-1.0,51.0,-1.0,-1.0,-1.0,-1.0,54.95,48.03,-1.0,-1.0,-1.0,54.79,-1.0,-1.0,-1.0,52.64,-1.0,-1.0,-1.0,-1.0,-1.0,51.47,-1.0,-1.0,48.31,-1.0,-1.0,-1.0,-1.0,51.19,-1.0,-1.0,52.71,-1.0,-1.0,51.92,-1.0,48.09,-1.0,49.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.64,-1.0,-1.0,-1.0,-1.0,-1.0,60.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.58,-1.0,49.01,-1.0,-1.0,-1.0,49.8,-1.0,-1.0
nunu,4 Tier,0.4825,0.0058,0.0282,-1.0,-1.0,-1.0,-1.0,46.85,-1.0,-1.0,-1.0,53.63,-1.0,44.34,-1.0,-1.0,-1.0,-1.0,-1.0,52.94,-1.0,46.34,-1.0,-1.0,-1.0,-1.0,46.99,-1.0,-1.0,-1.0,47.83,-1.0,50.91,-1.0,45.36,49.16,-1.0,50.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.68,-1.0,-1.0,-1.0,-1.0,-1.0,47.37,40.0,-1.0,-1.0,48.87,-1.0,-1.0,46.05,46.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.11,56.28,56.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.4,-1.0,-1.0,-1.0,-1.0,-1.0,47.76,-1.0,45.91,-1.0,48.39,51.84,-1.0,-1.0,-1.0,55.1,-1.0,-1.0,-1.0,-1.0,57.89,49.85,-1.0,-1.0,-1.0,47.35,-1.0,-1.0,-1.0,46.09,-1.0,-1.0,-1.0,-1.0,-1.0,46.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.27,-1.0,-1.0,47.31,-1.0,-1.0,32.26,-1.0,53.75,-1.0,45.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.13,-1.0,43.34,-1.0,-1.0,-1.0,48.82,-1.0,-1.0
jax,OP Tier,0.5344,0.061399999999999996,0.0449,-1.0,-1.0,-1.0,-1.0,53.91,-1.0,-1.0,-1.0,46.84,-1.0,52.28,-1.0,-1.0,-1.0,-1.0,-1.0,48.15,-1.0,57.38,52.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.31,-1.0,51.76,-1.0,50.16,53.61,-1.0,55.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.98,54.07,-1.0,54.69,49.02,-1.0,-1.0,50.21,54.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.53,55.69,50.4,62.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.22,-1.0,-1.0,-1.0,-1.0,-1.0,50.3,-1.0,54.4,-1.0,-1.0,56.56,-1.0,-1.0,-1.0,52.86,-1.0,-1.0,-1.0,-1.0,53.81,55.37,-1.0,-1.0,-1.0,56.91,-1.0,-1.0,-1.0,52.91,-1.0,-1.0,-1.0,-1.0,-1.0,52.61,-1.0,-1.0,61.76,-1.0,-1.0,-1.0,-1.0,55.07,-1.0,-1.0,54.56,-1.0,-1.0,50.0,-1.0,53.52,-1.0,48.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.98,56.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.73,-1.0,53.2,-1.0,-1.0,-1.0,53.01,-1.0,-1.0
evelynn,3 Tier,0.5013000000000001,0.0883,0.0499,-1.0,-1.0,-1.0,-1.0,48.39,-1.0,-1.0,-1.0,46.2,-1.0,49.97,-1.0,-1.0,-1.0,-1.0,-1.0,49.19,-1.0,44.37,55.26,-1.0,-1.0,-1.0,47.87,-1.0,-1.0,-1.0,-1.0,-1.0,58.36,-1.0,51.17,47.06,-1.0,53.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.65,-1.0,-1.0,-1.0,-1.0,-1.0,47.07,47.79,-1.0,50.13,43.68,-1.0,51.61,49.79,50.95,-1.0,51.22,-1.0,-1.0,-1.0,-1.0,59.75,49.78,41.03,50.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.09,-1.0,-1.0,-1.0,-1.0,-1.0,51.43,-1.0,52.59,-1.0,-1.0,50.49,-1.0,-1.0,-1.0,51.04,-1.0,-1.0,-1.0,-1.0,54.61,51.05,-1.0,-1.0,-1.0,51.39,-1.0,-1.0,-1.0,51.25,-1.0,-1.0,-1.0,-1.0,-1.0,50.65,-1.0,-1.0,55.38,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,52.42,-1.0,-1.0,-1.0,-1.0,47.41,-1.0,48.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.53,-1.0,44.87,-1.0,-1.0,-1.0,46.54,-1.0,-1.0
karthus,5 Tier,0.46840000000000004,0.0084,0.019799999999999998,-1.0,-1.0,-1.0,-1.0,45.05,-1.0,-1.0,-1.0,37.88,-1.0,41.06,-1.0,-1.0,-1.0,-1.0,-1.0,28.57,-1.0,47.95,48.39,-1.0,-1.0,-1.0,49.41,-1.0,-1.0,-1.0,40.71,-1.0,-1.0,-1.0,48.91,56.86,-1.0,49.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.41,-1.0,-1.0,-1.0,-1.0,-1.0,46.21,-1.0,-1.0,50.24,50.98,-1.0,-1.0,46.82,46.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.45,48.19,55.38,51.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.11,-1.0,-1.0,-1.0,-1.0,-1.0,54.9,-1.0,43.23,-1.0,-1.0,44.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.29,44.54,-1.0,-1.0,-1.0,55.14,-1.0,-1.0,-1.0,45.83,-1.0,-1.0,-1.0,-1.0,-1.0,45.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.73,-1.0,-1.0,49.09,-1.0,-1.0,-1.0,-1.0,45.64,-1.0,45.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.71,-1.0,45.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
amumu,4 Tier,0.49729999999999996,0.0105,0.0346,-1.0,-1.0,-1.0,-1.0,49.71,-1.0,-1.0,-1.0,50.61,-1.0,49.68,-1.0,-1.0,-1.0,-1.0,-1.0,50.6,-1.0,52.07,55.31,-1.0,-1.0,-1.0,47.61,-1.0,-1.0,-1.0,53.56,-1.0,51.39,-1.0,-1.0,52.44,-1.0,49.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.99,-1.0,-1.0,-1.0,-1.0,-1.0,46.08,-1.0,-1.0,53.08,46.67,-1.0,46.15,47.84,49.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.33,40.48,44.3,50.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.7,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,50.18,-1.0,-1.0,52.94,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,53.98,49.03,-1.0,-1.0,-1.0,53.29,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.01,-1.0,-1.0,51.43,-1.0,-1.0,-1.0,-1.0,51.1,-1.0,43.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.83,-1.0,-1.0,-1.0,-1.0,-1.0,51.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.63,-1.0,48.07,-1.0,-1.0,-1.0,51.72,-1.0,-1.0
