champion_name,tier,win_ratio,ban_ratio,pick_ratio,annie,olaf,galio,twistedfate,xinzhao,urgot,leblanc,vladimir,fiddlesticks,kayle,masteryi,alistar,ryze,sion,sivir,soraka,teemo,tristana,warwick,nunu,missfortune,ashe,tryndamere,jax,morgana,zilean,singed,evelynn,twitch,karthus,chogath,amumu,rammus,anivia,shaco,drmundo,sona,kassadin,irelia,janna,gangplank,corki,karma,taric,veigar,trundle,swain,caitlyn,blitzcrank,malphite,katarina,nocturne,maokai,renekton,jarvaniv,elise,orianna,monkeyking,brand,leesin,vayne,rumble,cassiopeia,skarner,heimerdinger,nasus,nidalee,udyr,poppy,gragas,pantheon,ezreal,mordekaiser,yorick,akali,kennen,garen,leona,malzahar,talon,riven,kogmaw,shen,lux,xerath,shyvana,ahri,graves,fizz,volibear,rengar,varus,nautilus,viktor,sejuani,fiora,ziggs,lulu,draven,hecarim,khazix,darius,jayce,lissandra,diana,quinn,syndra,aurelionsol,kayn,zoe,zyra,kaisa,seraphine,gnar,zac,yasuo,velkoz,taliyah,akshan,camille,braum,jhin,kindred,jinx,tahmkench,viego,senna,lucian,zed,kled,ekko,qiyana,vi,aatrox,nami,azir,yuumi,samira,thresh,illaoi,ksante,ivern,kalista,bard,rakan,xayah,ornn,sylas,rell,neeko,aphelios,pyke,sett,vex,yone,gwen,lillia,hwei,briar,naafiri,milio,nilah,belveth,renata,zeri
annie,3 Tier,0.5119,0.0049,0.0182,-1.0,-1.0,42.86,57.8,-1.0,-1.0,55.56,54.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.16,-1.0,-1.0,-1.0,46.74,60.61,-1.0,-1.0,55.26,-1.0,-1.0,48.53,-1.0,-1.0,-1.0,-1.0,-1.0,51.23,-1.0,-1.0,-1.0,-1.0,-1.0,51.56,-1.0,-1.0,-1.0,-1.0,-1.0,34.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.06,-1.0,-1.0,-1.0,48.75,-1.0,-1.0,-1.0,43.75,33.85,-1.0,-1.0,-1.0,47.12,-1.0,-1.0,57.5,-1.0,48.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.93,-1.0,46.69,52.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.15,45.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.83,-1.0,47.83,48.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.64,-1.0,48.42,-1.0,-1.0,-1.0,59.63,53.43,-1.0,-1.0,55.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
galio,2 Tier,0.5122,0.0083,0.0318,57.14,-1.0,-1.0,50.35,-1.0,-1.0,54.61,52.01,-1.0,50.65,-1.0,-1.0,46.59,-1.0,-1.0,-1.0,-1.0,48.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.23,-1.0,-1.0,-1.0,50.18,50.9,-1.0,-1.0,42.59,-1.0,-1.0,52.17,-1.0,46.58,-1.0,-1.0,43.08,53.35,-1.0,-1.0,-1.0,-1.0,-1.0,51.59,-1.0,60.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.59,-1.0,-1.0,-1.0,54.6,56.82,-1.0,-1.0,52.05,45.48,-1.0,-1.0,-1.0,44.88,51.0,-1.0,50.0,-1.0,49.04,-1.0,-1.0,-1.0,-1.0,52.19,-1.0,-1.0,52.38,-1.0,-1.0,-1.0,-1.0,-1.0,40.68,50.0,45.36,-1.0,52.63,60.78,-1.0,51.43,-1.0,-1.0,-1.0,-1.0,-1.0,53.05,45.32,42.22,49.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.08,-1.0,52.06,56.6,-1.0,-1.0,-1.0,53.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.54,-1.0,50.94,-1.0,-1.0,-1.0,52.17,51.56,-1.0,-1.0,48.82,-1.0,45.1,-1.0,-1.0,-1.0,-1.0,-1.0
twistedfate,2 Tier,0.5047,0.016,0.06309999999999999,49.46,-1.0,50.19,-1.0,-1.0,-1.0,56.58,53.68,-1.0,50.0,-1.0,-1.0,48.94,-1.0,-1.0,-1.0,-1.0,52.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.93,-1.0,-1.0,-1.0,47.96,48.26,-1.0,41.18,52.68,-1.0,-1.0,51.25,-1.0,41.2,-1.0,-1.0,55.4,48.47,-1.0,-1.0,-1.0,-1.0,-1.0,53.33,-1.0,44.06,-1.0,-1.0,41.74,56.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,53.16,52.94,-1.0,-1.0,51.86,51.87,-1.0,-1.0,-1.0,48.4,50.36,-1.0,52.83,-1.0,44.86,-1.0,-1.0,-1.0,-1.0,51.41,-1.0,-1.0,70.45,-1.0,-1.0,-1.0,-1.0,-1.0,49.4,52.08,46.49,-1.0,50.73,48.41,-1.0,53.18,-1.0,-1.0,-1.0,-1.0,-1.0,47.41,50.93,47.97,51.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.02,-1.0,47.75,50.72,-1.0,-1.0,-1.0,51.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.18,-1.0,50.44,-1.0,-1.0,-1.0,52.02,52.28,-1.0,-1.0,54.78,-1.0,45.69,-1.0,-1.0,-1.0,-1.0,-1.0
leblanc,5 Tier,0.46340000000000003,0.0797,0.0499,44.44,-1.0,43.42,42.9,-1.0,-1.0,-1.0,43.52,-1.0,22.73,-1.0,-1.0,42.7,-1.0,-1.0,-1.0,-1.0,49.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.97,-1.0,-1.0,-1.0,42.52,43.56,-1.0,-1.0,48.53,-1.0,-1.0,48.98,-1.0,53.0,-1.0,-1.0,40.65,47.48,-1.0,-1.0,-1.0,-1.0,-1.0,52.95,-1.0,41.34,-1.0,-1.0,35.65,55.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.15,-1.0,-1.0,-1.0,47.78,48.35,-1.0,-1.0,39.83,49.15,-1.0,-1.0,-1.0,42.77,45.83,-1.0,47.03,-1.0,44.92,-1.0,-1.0,-1.0,-1.0,46.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.03,47.85,42.93,-1.0,45.61,42.13,-1.0,45.72,-1.0,-1.0,-1.0,-1.0,-1.0,45.04,53.33,62.86,44.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.31,-1.0,47.02,49.28,-1.0,-1.0,-1.0,48.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.86,-1.0,44.52,-1.0,-1.0,-1.0,42.99,48.28,-1.0,-1.0,51.34,-1.0,38.3,-1.0,-1.0,-1.0,-1.0,-1.0
vladimir,2 Tier,0.5146000000000001,0.0359,0.0449,47.5,-1.0,50.53,48.52,-1.0,-1.0,57.7,-1.0,-1.0,-1.0,-1.0,-1.0,42.65,-1.0,-1.0,-1.0,-1.0,51.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.9,-1.0,-1.0,-1.0,52.24,51.58,-1.0,-1.0,56.84,-1.0,-1.0,49.67,-1.0,55.26,-1.0,-1.0,67.21,54.01,-1.0,-1.0,-1.0,-1.0,-1.0,54.75,-1.0,49.24,-1.0,-1.0,57.5,54.19,-1.0,52.63,-1.0,-1.0,-1.0,-1.0,-1.0,42.41,-1.0,-1.0,-1.0,52.93,55.17,-1.0,-1.0,45.37,46.49,-1.0,-1.0,-1.0,50.06,52.49,-1.0,51.9,-1.0,50.15,-1.0,-1.0,-1.0,-1.0,52.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.08,49.13,51.47,-1.0,51.03,49.21,-1.0,47.24,-1.0,-1.0,-1.0,-1.0,-1.0,51.91,46.99,59.38,51.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.72,-1.0,49.46,53.26,-1.0,-1.0,-1.0,49.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.93,-1.0,51.23,-1.0,-1.0,-1.0,54.85,50.79,-1.0,-1.0,54.99,-1.0,51.57,-1.0,-1.0,-1.0,-1.0,-1.0
kayle,4 Tier,0.5271,0.0025,0.0062,-1.0,-1.0,50.62,51.61,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.85,-1.0,-1.0,-1.0,-1.0,-1.0,59.52,-1.0,-1.0,-1.0,-1.0,-1.0,46.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.66,-1.0,-1.0,-1.0,39.13,-1.0,-1.0,-1.0,-1.0,47.95,-1.0,-1.0,53.95,-1.0,54.93,-1.0,-1.0,-1.0,-1.0,37.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.06,-1.0,-1.0,55.56,47.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.33,-1.0,49.41,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ryze,5 Tier,0.4928,0.002,0.015300000000000001,-1.0,-1.0,-1.0,54.31,-1.0,-1.0,55.91,58.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.83,36.17,-1.0,-1.0,48.98,-1.0,-1.0,46.34,-1.0,-1.0,-1.0,-1.0,-1.0,46.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.48,-1.0,-1.0,-1.0,-1.0,40.3,-1.0,-1.0,-1.0,37.84,44.12,-1.0,50.63,-1.0,45.18,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.94,-1.0,40.54,-1.0,41.61,-1.0,-1.0,42.86,-1.0,-1.0,-1.0,-1.0,-1.0,47.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.66,-1.0,56.41,54.1,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.93,-1.0,47.19,-1.0,-1.0,-1.0,55.67,47.15,-1.0,-1.0,53.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
tristana,5 Tier,0.509,0.0032,0.0098,-1.0,-1.0,56.82,49.12,-1.0,-1.0,49.42,47.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.16,51.02,-1.0,-1.0,46.77,-1.0,-1.0,51.22,-1.0,-1.0,-1.0,-1.0,-1.0,57.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.73,-1.0,-1.0,-1.0,45.45,53.03,-1.0,-1.0,-1.0,48.8,41.25,-1.0,49.69,-1.0,51.6,-1.0,-1.0,-1.0,-1.0,40.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.28,48.39,-1.0,51.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.19,-1.0,36.67,-1.0,-1.0,-1.0,-1.0,43.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.75,-1.0,37.74,-1.0,-1.0,-1.0,-1.0,52.03,-1.0,-1.0,57.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
anivia,3 Tier,0.5192,0.0089,0.0167,-1.0,-1.0,67.57,56.46,-1.0,-1.0,56.64,54.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.52,54.39,-1.0,-1.0,53.19,-1.0,-1.0,53.97,-1.0,-1.0,-1.0,-1.0,-1.0,53.94,-1.0,-1.0,-1.0,-1.0,-1.0,53.98,-1.0,-1.0,-1.0,-1.0,-1.0,43.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.49,-1.0,-1.0,-1.0,42.16,-1.0,-1.0,-1.0,-1.0,45.95,-1.0,-1.0,-1.0,45.2,48.55,-1.0,52.85,-1.0,48.75,-1.0,-1.0,-1.0,-1.0,46.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.17,51.76,57.3,-1.0,51.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.19,43.02,-1.0,45.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.22,-1.0,49.54,-1.0,-1.0,-1.0,-1.0,43.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.5,-1.0,48.05,-1.0,-1.0,-1.0,47.78,53.85,-1.0,-1.0,57.59,-1.0,54.84,-1.0,-1.0,-1.0,-1.0,-1.0
kassadin,3 Tier,0.5023,0.0204,0.0264,55.56,-1.0,46.15,53.15,-1.0,-1.0,56.76,46.38,-1.0,-1.0,-1.0,-1.0,60.98,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.24,-1.0,-1.0,-1.0,-1.0,36.84,-1.0,-1.0,50.0,-1.0,-1.0,50.82,-1.0,47.73,-1.0,-1.0,-1.0,52.8,-1.0,-1.0,-1.0,-1.0,-1.0,53.87,-1.0,-1.0,-1.0,-1.0,40.0,45.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.37,-1.0,-1.0,-1.0,43.07,50.94,-1.0,-1.0,-1.0,49.3,54.8,-1.0,47.93,-1.0,47.93,-1.0,-1.0,-1.0,-1.0,48.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.43,47.4,44.44,-1.0,57.01,57.28,-1.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.52,-1.0,-1.0,49.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.36,-1.0,59.35,42.55,-1.0,-1.0,-1.0,47.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.41,-1.0,51.98,-1.0,-1.0,-1.0,54.87,47.05,-1.0,-1.0,56.79,-1.0,28.13,-1.0,-1.0,-1.0,-1.0,-1.0
