champion_name,tier,win_ratio,ban_ratio,pick_ratio,annie,olaf,galio,twistedfate,xinzhao,urgot,leblanc,vladimir,fiddlesticks,kayle,masteryi,alistar,ryze,sion,sivir,soraka,teemo,tristana,warwick,nunu,missfortune,ashe,tryndamere,jax,morgana,zilean,singed,evelynn,twitch,karthus,chogath,amumu,rammus,anivia,shaco,drmundo,sona,kassadin,irelia,janna,gangplank,corki,karma,taric,veigar,trundle,swain,caitlyn,blitzcrank,malphite,katarina,nocturne,maokai,renekton,jarvaniv,elise,orianna,monkeyking,brand,leesin,vayne,rumble,cassiopeia,skarner,heimerdinger,nasus,nidalee,udyr,poppy,gragas,pantheon,ezreal,mordekaiser,yorick,akali,kennen,garen,leona,malzahar,talon,riven,kogmaw,shen,lux,xerath,shyvana,ahri,graves,fizz,volibear,rengar,varus,nautilus,viktor,sejuani,fiora,ziggs,lulu,draven,hecarim,khazix,darius,jayce,lissandra,diana,quinn,syndra,aurelionsol,kayn,zoe,zyra,kaisa,seraphine,gnar,zac,yasuo,velkoz,taliyah,akshan,camille,braum,jhin,kindred,jinx,tahmkench,viego,senna,lucian,zed,kled,ekko,qiyana,vi,aatrox,nami,azir,yuumi,samira,thresh,illaoi,ksante,ivern,kalista,bard,rakan,xayah,ornn,sylas,rell,neeko,aphelios,pyke,sett,vex,yone,gwen,lillia,hwei,briar,naafiri,milio,nilah,belveth,renata,zeri
galio,5 Tier,0.4901,0.0016,0.0064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.53,-1.0,37.89,-1.0,-1.0,-1.0,47.92,-1.0,-1.0,-1.0,-1.0,-1.0,50.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.21,54.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.59,-1.0,-1.0,-1.0,-1.0,50.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.84,-1.0,-1.0,-1.0,-1.0,-1.0,51.06,-1.0,-1.0,31.15,-1.0,-1.0,-1.0,-1.0
alistar,3 Tier,0.5012,0.014499999999999999,0.0398,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.43,43.66,-1.0,-1.0,-1.0,-1.0,54.95,-1.0,-1.0,46.27,45.26,-1.0,-1.0,62.79,-1.0,-1.0,60.0,-1.0,-1.0,45.57,-1.0,45.19,-1.0,-1.0,47.45,-1.0,-1.0,55.77,42.99,60.0,-1.0,46.82,-1.0,49.17,57.28,-1.0,-1.0,43.49,-1.0,-1.0,-1.0,-1.0,-1.0,51.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.33,-1.0,-1.0,-1.0,-1.0,61.29,49.75,49.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.26,-1.0,-1.0,-1.0,-1.0,52.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.34,-1.0,50.8,-1.0,-1.0,-1.0,50.19,-1.0,-1.0,-1.0,45.06,-1.0,-1.0,-1.0,47.41,-1.0,49.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.06,-1.0,57.27,-1.0,53.27,-1.0,-1.0,-1.0,-1.0,46.45,47.45,-1.0,-1.0,-1.0,50.57,46.38,-1.0,52.95,-1.0,-1.0,-1.0,-1.0,-1.0,57.63,-1.0,-1.0,52.47,-1.0,-1.0,50.68,-1.0
soraka,3 Tier,0.5043,0.0138,0.0407,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.14,-1.0,-1.0,-1.0,-1.0,50.64,-1.0,-1.0,-1.0,-1.0,50.4,-1.0,-1.0,50.19,49.09,-1.0,-1.0,59.57,-1.0,-1.0,47.5,-1.0,-1.0,46.64,-1.0,44.27,-1.0,-1.0,48.45,-1.0,-1.0,53.13,-1.0,-1.0,-1.0,55.27,-1.0,48.0,50.0,-1.0,-1.0,46.31,-1.0,-1.0,-1.0,-1.0,-1.0,51.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.9,-1.0,-1.0,-1.0,-1.0,-1.0,53.32,48.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.97,-1.0,-1.0,-1.0,-1.0,54.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.29,-1.0,49.91,-1.0,-1.0,-1.0,45.35,-1.0,-1.0,-1.0,52.13,-1.0,-1.0,-1.0,67.65,-1.0,49.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.13,-1.0,48.34,-1.0,48.23,-1.0,-1.0,-1.0,-1.0,48.72,45.9,-1.0,-1.0,-1.0,52.17,56.93,-1.0,54.48,-1.0,-1.0,-1.0,-1.0,-1.0,56.71,-1.0,-1.0,48.68,-1.0,-1.0,47.17,-1.0
teemo,OP Tier,0.5529999999999999,0.0418,0.0258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.93,-1.0,-1.0,-1.0,50.35,-1.0,-1.0,-1.0,-1.0,-1.0,56.48,-1.0,-1.0,54.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.28,-1.0,44.85,-1.0,-1.0,50.33,-1.0,-1.0,49.33,-1.0,-1.0,-1.0,57.09,-1.0,54.68,65.71,-1.0,-1.0,51.05,-1.0,-1.0,-1.0,-1.0,-1.0,55.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.46,-1.0,-1.0,-1.0,-1.0,-1.0,55.06,51.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.76,-1.0,-1.0,-1.0,-1.0,57.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.54,-1.0,56.81,-1.0,-1.0,-1.0,50.86,-1.0,-1.0,-1.0,47.46,-1.0,-1.0,-1.0,56.14,-1.0,54.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.17,-1.0,58.28,-1.0,51.32,-1.0,-1.0,-1.0,-1.0,55.88,52.26,-1.0,-1.0,-1.0,65.93,71.01,-1.0,59.1,-1.0,-1.0,-1.0,-1.0,-1.0,59.38,-1.0,-1.0,54.11,-1.0,-1.0,48.91,-1.0
ashe,4 Tier,0.4763,0.0123,0.0326,-1.0,-1.0,40.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.4,-1.0,-1.0,-1.0,47.67,44.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.27,45.65,-1.0,-1.0,51.32,-1.0,-1.0,-1.0,-1.0,-1.0,47.52,-1.0,44.72,-1.0,-1.0,46.47,-1.0,-1.0,51.93,49.06,-1.0,-1.0,47.31,-1.0,42.87,50.0,-1.0,-1.0,41.59,-1.0,-1.0,-1.0,-1.0,-1.0,45.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.07,-1.0,-1.0,-1.0,-1.0,-1.0,46.65,47.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.34,-1.0,-1.0,-1.0,-1.0,51.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.7,-1.0,49.26,-1.0,-1.0,-1.0,49.76,-1.0,-1.0,-1.0,44.64,-1.0,-1.0,-1.0,-1.0,-1.0,49.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.95,-1.0,51.83,-1.0,50.43,-1.0,-1.0,-1.0,-1.0,42.43,47.31,-1.0,-1.0,-1.0,39.07,47.78,-1.0,44.78,-1.0,-1.0,-1.0,-1.0,-1.0,56.96,-1.0,-1.0,48.09,-1.0,-1.0,50.0,-1.0
morgana,OP Tier,0.5242,0.2618,0.0917,-1.0,-1.0,35.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.94,-1.0,-1.0,-1.0,50.39,43.4,-1.0,-1.0,-1.0,-1.0,50.83,-1.0,-1.0,-1.0,50.62,-1.0,-1.0,53.71,-1.0,-1.0,56.29,-1.0,-1.0,51.05,-1.0,50.45,-1.0,-1.0,48.77,-1.0,-1.0,53.22,54.57,56.64,-1.0,55.05,-1.0,50.54,56.11,-1.0,-1.0,50.98,-1.0,-1.0,-1.0,-1.0,-1.0,51.74,-1.0,-1.0,-1.0,-1.0,-1.0,51.69,-1.0,-1.0,-1.0,-1.0,-1.0,50.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.61,-1.0,-1.0,-1.0,-1.0,58.7,52.35,48.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.59,-1.0,-1.0,-1.0,-1.0,53.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.07,-1.0,55.57,-1.0,-1.0,-1.0,49.2,-1.0,-1.0,-1.0,50.35,-1.0,-1.0,-1.0,-1.0,-1.0,49.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.91,-1.0,52.37,-1.0,54.8,-1.0,-1.0,-1.0,-1.0,49.83,50.6,-1.0,-1.0,-1.0,55.12,54.75,-1.0,54.19,-1.0,-1.0,-1.0,-1.0,-1.0,56.7,-1.0,-1.0,50.28,-1.0,-1.0,53.23,-1.0
zilean,3 Tier,0.5103,0.0036,0.0165,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.73,-1.0,-1.0,-1.0,52.27,53.45,-1.0,-1.0,-1.0,-1.0,53.85,-1.0,-1.0,49.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.13,-1.0,-1.0,54.68,-1.0,-1.0,54.59,-1.0,-1.0,-1.0,50.83,-1.0,49.26,-1.0,-1.0,-1.0,44.72,-1.0,-1.0,-1.0,-1.0,-1.0,56.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.03,-1.0,-1.0,-1.0,-1.0,-1.0,46.71,52.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.17,-1.0,-1.0,-1.0,-1.0,52.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.67,-1.0,52.87,-1.0,-1.0,-1.0,55.41,-1.0,-1.0,-1.0,46.84,-1.0,-1.0,-1.0,47.22,-1.0,48.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.52,-1.0,50.68,-1.0,54.46,-1.0,-1.0,-1.0,-1.0,43.24,-1.0,-1.0,-1.0,-1.0,51.35,47.37,-1.0,55.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.49,-1.0,-1.0,58.95,-1.0
twitch,5 Tier,0.4704,0.005600000000000001,0.008100000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.61,-1.0,-1.0,43.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.56,-1.0,-1.0,40.78,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.94,-1.0,-1.0,-1.0,-1.0,-1.0,52.76,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.65,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.47,-1.0,-1.0,-1.0,-1.0,-1.0,51.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.53,-1.0,43.75,-1.0,46.15,-1.0,-1.0,-1.0,-1.0,45.76,40.83,-1.0,-1.0,-1.0,-1.0,54.29,-1.0,46.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.02,-1.0
amumu,5 Tier,0.4988,0.0018,0.0060999999999999995,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.82,-1.0,-1.0,-1.0,51.35,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,42.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.33,-1.0,-1.0,56.1,-1.0,-1.0,-1.0,40.0,-1.0,45.75,-1.0,-1.0,-1.0,52.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.64,-1.0,-1.0,-1.0,-1.0,-1.0,49.15,54.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.28,-1.0,-1.0,-1.0,-1.0,46.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.56,-1.0,76.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.51,-1.0,52.46,-1.0,49.75,-1.0,-1.0,-1.0,-1.0,46.34,52.17,-1.0,-1.0,-1.0,56.76,-1.0,-1.0,46.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
shaco,3 Tier,0.5228,0.05,0.0175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.04,-1.0,-1.0,-1.0,53.68,-1.0,-1.0,-1.0,-1.0,-1.0,47.83,-1.0,-1.0,49.76,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.52,-1.0,-1.0,50.67,-1.0,-1.0,59.46,-1.0,-1.0,-1.0,67.37,-1.0,51.99,-1.0,-1.0,-1.0,43.79,-1.0,-1.0,-1.0,-1.0,-1.0,49.69,-1.0,-1.0,-1.0,-1.0,-1.0,56.41,-1.0,-1.0,-1.0,-1.0,-1.0,68.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.35,-1.0,-1.0,-1.0,-1.0,-1.0,53.56,50.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.2,-1.0,-1.0,-1.0,-1.0,43.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.72,-1.0,55.0,-1.0,-1.0,-1.0,53.69,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,45.95,-1.0,53.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.18,-1.0,51.65,-1.0,52.82,-1.0,-1.0,-1.0,-1.0,46.63,55.53,-1.0,-1.0,-1.0,-1.0,49.29,-1.0,58.39,-1.0,-1.0,-1.0,-1.0,-1.0,59.21,-1.0,-1.0,50.33,-1.0,-1.0,69.7,-1.0
