champion_name,tier,win_ratio,ban_ratio,pick_ratio,annie,olaf,galio,twistedfate,xinzhao,urgot,leblanc,vladimir,fiddlesticks,kayle,masteryi,alistar,ryze,sion,sivir,soraka,teemo,tristana,warwick,nunu,missfortune,ashe,tryndamere,jax,morgana,zilean,singed,evelynn,twitch,karthus,chogath,amumu,rammus,anivia,shaco,drmundo,sona,kassadin,irelia,janna,gangplank,corki,karma,taric,veigar,trundle,swain,caitlyn,blitzcrank,malphite,katarina,nocturne,maokai,renekton,jarvaniv,elise,orianna,monkeyking,brand,leesin,vayne,rumble,cassiopeia,skarner,heimerdinger,nasus,nidalee,udyr,poppy,gragas,pantheon,ezreal,mordekaiser,yorick,akali,kennen,garen,leona,malzahar,talon,riven,kogmaw,shen,lux,xerath,shyvana,ahri,graves,fizz,volibear,rengar,varus,nautilus,viktor,sejuani,fiora,ziggs,lulu,draven,hecarim,khazix,darius,jayce,lissandra,diana,quinn,syndra,aurelionsol,kayn,zoe,zyra,kaisa,seraphine,gnar,zac,yasuo,velkoz,taliyah,akshan,camille,braum,jhin,kindred,jinx,tahmkench,viego,senna,lucian,zed,kled,ekko,qiyana,vi,aatrox,nami,azir,yuumi,samira,thresh,illaoi,ksante,ivern,kalista,bard,rakan,xayah,ornn,sylas,rell,neeko,aphelios,pyke,sett,vex,yone,gwen,lillia,hwei,briar,naafiri,milio,nilah,belveth,renata,zeri
olaf,4 Tier,0.4914,0.013500000000000002,0.0154,-1.0,-1.0,-1.0,-1.0,-1.0,50.48,-1.0,-1.0,-1.0,47.03,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,47.83,-1.0,-1.0,-1.0,-1.0,-1.0,40.97,46.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.79,-1.0,-1.0,-1.0,50.59,-1.0,-1.0,-1.0,51.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.47,-1.0,-1.0,-1.0,58.97,-1.0,57.14,-1.0,-1.0,51.61,-1.0,49.58,46.15,50.0,48.98,45.95,-1.0,-1.0,-1.0,44.07,-1.0,60.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.56,-1.0,-1.0,-1.0,-1.0,-1.0,39.57,-1.0,-1.0,-1.0,-1.0,-1.0,48.65,61.29,-1.0,-1.0,48.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.22,-1.0,-1.0,-1.0,-1.0,33.33,-1.0,-1.0,-1.0,46.41,-1.0,-1.0,-1.0,-1.0,-1.0,50.94,53.9,-1.0,-1.0,-1.0,-1.0,-1.0,46.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.41,53.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
urgot,3 Tier,0.5141,0.0078000000000000005,0.0235,-1.0,40.63,-1.0,-1.0,-1.0,-1.0,-1.0,60.98,-1.0,40.95,-1.0,-1.0,-1.0,42.19,-1.0,-1.0,48.95,-1.0,65.63,-1.0,-1.0,-1.0,48.24,51.72,-1.0,-1.0,51.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.49,-1.0,48.98,-1.0,-1.0,-1.0,-1.0,46.66,-1.0,-1.0,-1.0,52.38,-1.0,-1.0,-1.0,57.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.66,54.88,-1.0,-1.0,-1.0,49.0,-1.0,50.0,-1.0,-1.0,61.54,-1.0,46.57,52.05,53.79,54.55,51.52,-1.0,-1.0,-1.0,56.01,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.67,43.33,-1.0,-1.0,-1.0,-1.0,49.24,-1.0,-1.0,-1.0,-1.0,-1.0,51.02,52.03,-1.0,-1.0,59.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.54,-1.0,-1.0,-1.0,-1.0,-1.0,54.17,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,65.79,-1.0,-1.0,-1.0,50.22,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,58.67,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.63,-1.0,53.33,50.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
vladimir,5 Tier,0.48840000000000006,0.0086,0.011000000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,41.86,-1.0,-1.0,-1.0,42.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.98,-1.0,-1.0,-1.0,-1.0,-1.0,45.83,49.66,-1.0,-1.0,57.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.19,-1.0,-1.0,49.22,-1.0,47.06,-1.0,-1.0,-1.0,-1.0,34.09,33.33,-1.0,-1.0,52.24,-1.0,-1.0,-1.0,50.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.14,-1.0,-1.0,-1.0,36.36,-1.0,40.3,67.74,-1.0,-1.0,-1.0,48.12,38.18,50.59,62.5,53.45,-1.0,-1.0,-1.0,52.11,-1.0,50.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.42,-1.0,-1.0,-1.0,-1.0,-1.0,51.2,41.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,48.89,-1.0,-1.0,-1.0,68.18,-1.0,-1.0,-1.0,-1.0,32.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.17,-1.0,-1.0,-1.0,-1.0,-1.0,53.85,45.24,-1.0,-1.0,-1.0,-1.0,57.14,-1.0,53.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
kayle,2 Tier,0.5283,0.0169,0.0435,-1.0,58.93,-1.0,-1.0,-1.0,55.81,-1.0,59.34,-1.0,-1.0,-1.0,-1.0,-1.0,49.89,-1.0,-1.0,48.0,-1.0,58.14,-1.0,-1.0,-1.0,48.88,48.54,-1.0,-1.0,54.56,-1.0,-1.0,-1.0,46.23,-1.0,-1.0,-1.0,-1.0,51.61,-1.0,-1.0,47.47,-1.0,56.46,-1.0,-1.0,-1.0,-1.0,50.81,44.44,-1.0,-1.0,48.81,-1.0,-1.0,-1.0,59.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.99,54.03,-1.0,-1.0,-1.0,47.62,-1.0,59.03,55.26,73.33,51.2,-1.0,50.83,59.2,-1.0,56.0,56.69,-1.0,-1.0,-1.0,51.6,-1.0,55.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.51,54.9,-1.0,-1.0,-1.0,-1.0,53.33,-1.0,-1.0,-1.0,-1.0,-1.0,54.88,50.49,-1.0,-1.0,50.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.04,-1.0,51.67,-1.0,-1.0,-1.0,57.5,-1.0,-1.0,-1.0,-1.0,47.66,-1.0,-1.0,-1.0,-1.0,55.03,-1.0,-1.0,-1.0,50.9,-1.0,-1.0,-1.0,-1.0,-1.0,59.39,57.82,-1.0,-1.0,-1.0,-1.0,-1.0,46.02,60.27,-1.0,-1.0,-1.0,-1.0,55.78,-1.0,54.01,53.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
sion,3 Tier,0.5044,0.0165,0.0395,-1.0,-1.0,-1.0,-1.0,-1.0,59.09,-1.0,57.65,-1.0,52.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.47,-1.0,50.0,-1.0,-1.0,-1.0,51.08,53.99,-1.0,-1.0,48.4,-1.0,-1.0,-1.0,58.96,-1.0,-1.0,-1.0,-1.0,50.1,-1.0,-1.0,46.04,-1.0,53.4,-1.0,-1.0,-1.0,-1.0,47.97,-1.0,-1.0,-1.0,54.04,-1.0,-1.0,-1.0,43.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.57,52.23,-1.0,-1.0,64.29,48.36,-1.0,46.15,47.69,-1.0,51.2,-1.0,44.66,56.65,60.15,63.44,50.34,-1.0,-1.0,-1.0,48.15,-1.0,51.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.75,44.83,-1.0,-1.0,-1.0,-1.0,43.73,-1.0,-1.0,-1.0,-1.0,-1.0,51.17,59.39,-1.0,-1.0,49.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.13,48.33,55.65,-1.0,-1.0,-1.0,52.17,-1.0,-1.0,-1.0,-1.0,49.61,-1.0,-1.0,-1.0,-1.0,44.74,-1.0,-1.0,-1.0,44.84,-1.0,-1.0,-1.0,-1.0,-1.0,53.53,48.98,-1.0,-1.0,-1.0,-1.0,-1.0,48.68,-1.0,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,48.14,47.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
teemo,OP Tier,0.5289,0.1475,0.0891,-1.0,52.21,-1.0,-1.0,-1.0,50.79,-1.0,51.48,-1.0,51.64,-1.0,-1.0,-1.0,47.0,-1.0,-1.0,-1.0,-1.0,53.1,-1.0,-1.0,-1.0,57.06,54.34,-1.0,-1.0,50.91,-1.0,-1.0,-1.0,51.41,-1.0,-1.0,-1.0,-1.0,50.77,-1.0,-1.0,50.86,-1.0,53.55,-1.0,-1.0,-1.0,-1.0,52.76,-1.0,-1.0,-1.0,48.97,-1.0,-1.0,40.68,61.68,-1.0,-1.0,-1.0,55.93,-1.0,-1.0,61.44,51.77,-1.0,-1.0,51.92,50.77,-1.0,53.73,54.77,-1.0,51.07,-1.0,48.58,48.77,54.2,53.26,55.08,-1.0,-1.0,-1.0,53.47,-1.0,52.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.32,48.15,-1.0,-1.0,-1.0,-1.0,50.81,-1.0,-1.0,-1.0,-1.0,-1.0,57.33,52.45,-1.0,-1.0,52.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.8,46.01,52.85,-1.0,-1.0,-1.0,59.38,-1.0,-1.0,-1.0,-1.0,49.25,-1.0,-1.0,-1.0,-1.0,50.33,-1.0,-1.0,-1.0,50.48,-1.0,-1.0,-1.0,-1.0,-1.0,57.84,53.5,-1.0,-1.0,-1.0,-1.0,-1.0,47.78,61.9,-1.0,-1.0,-1.0,-1.0,51.95,-1.0,57.15,52.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
warwick,4 Tier,0.5065999999999999,0.006500000000000001,0.0139,-1.0,66.67,-1.0,-1.0,-1.0,37.29,-1.0,-1.0,-1.0,47.46,-1.0,-1.0,-1.0,55.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.67,46.48,-1.0,-1.0,44.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.97,-1.0,-1.0,56.22,-1.0,45.76,-1.0,-1.0,-1.0,-1.0,49.89,-1.0,-1.0,-1.0,49.58,-1.0,-1.0,-1.0,57.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.63,64.52,-1.0,-1.0,-1.0,44.76,-1.0,-1.0,-1.0,-1.0,48.0,-1.0,49.46,47.06,-1.0,58.06,53.99,-1.0,-1.0,-1.0,53.42,-1.0,44.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.64,60.34,-1.0,-1.0,-1.0,-1.0,52.49,-1.0,-1.0,-1.0,-1.0,-1.0,52.54,46.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.16,-1.0,55.29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.13,-1.0,-1.0,-1.0,-1.0,44.12,-1.0,-1.0,-1.0,54.31,-1.0,-1.0,-1.0,-1.0,-1.0,56.25,56.67,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.1,-1.0,58.58,64.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
tryndamere,3 Tier,0.5022,0.023799999999999998,0.0317,-1.0,60.4,-1.0,-1.0,-1.0,51.7,-1.0,56.76,-1.0,49.37,-1.0,-1.0,-1.0,49.22,-1.0,-1.0,42.76,-1.0,44.9,-1.0,-1.0,-1.0,-1.0,47.51,-1.0,-1.0,46.53,-1.0,-1.0,-1.0,51.9,-1.0,-1.0,-1.0,-1.0,46.53,-1.0,-1.0,59.63,-1.0,51.47,-1.0,-1.0,-1.0,-1.0,48.91,-1.0,-1.0,-1.0,43.06,-1.0,-1.0,-1.0,55.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.29,54.62,-1.0,-1.0,-1.0,46.9,-1.0,44.0,53.75,46.67,44.83,-1.0,49.38,46.99,-1.0,56.72,51.64,-1.0,-1.0,-1.0,50.92,-1.0,62.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.78,53.33,-1.0,-1.0,-1.0,-1.0,49.32,-1.0,-1.0,-1.0,-1.0,-1.0,50.93,51.69,-1.0,-1.0,48.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,48.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.87,-1.0,-1.0,-1.0,-1.0,-1.0,54.48,57.43,-1.0,-1.0,-1.0,-1.0,-1.0,43.69,-1.0,-1.0,-1.0,-1.0,-1.0,48.36,-1.0,53.33,53.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
jax,2 Tier,0.5047999999999999,0.1418,0.10339999999999999,-1.0,54.74,-1.0,-1.0,-1.0,49.64,-1.0,46.52,-1.0,51.1,-1.0,-1.0,-1.0,45.16,-1.0,-1.0,45.97,-1.0,55.71,-1.0,-1.0,-1.0,51.81,-1.0,-1.0,-1.0,45.37,-1.0,-1.0,-1.0,46.65,-1.0,-1.0,-1.0,-1.0,43.75,-1.0,-1.0,54.04,-1.0,49.25,-1.0,-1.0,-1.0,-1.0,50.98,42.47,-1.0,-1.0,45.85,-1.0,-1.0,47.51,55.16,-1.0,-1.0,-1.0,47.92,-1.0,-1.0,53.35,50.56,-1.0,-1.0,50.73,48.38,-1.0,53.9,47.63,55.61,51.51,-1.0,47.56,52.9,50.32,49.29,46.76,-1.0,-1.0,-1.0,50.65,-1.0,52.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.02,47.61,-1.0,-1.0,-1.0,-1.0,50.65,-1.0,-1.0,-1.0,-1.0,-1.0,51.64,51.05,-1.0,-1.0,47.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.05,51.61,53.34,-1.0,-1.0,-1.0,55.77,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,45.38,-1.0,-1.0,-1.0,49.5,-1.0,-1.0,-1.0,-1.0,-1.0,47.02,54.41,-1.0,-1.0,-1.0,-1.0,-1.0,50.04,64.18,-1.0,-1.0,-1.0,-1.0,50.48,-1.0,57.54,56.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
singed,2 Tier,0.534,0.0218,0.0278,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,45.48,-1.0,-1.0,-1.0,52.19,-1.0,-1.0,51.35,-1.0,54.31,-1.0,-1.0,-1.0,53.09,56.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.56,-1.0,-1.0,-1.0,-1.0,42.22,-1.0,-1.0,59.48,-1.0,44.68,-1.0,-1.0,-1.0,-1.0,50.34,-1.0,-1.0,-1.0,54.81,-1.0,-1.0,-1.0,58.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.24,57.69,-1.0,-1.0,-1.0,48.63,-1.0,56.41,-1.0,58.93,53.44,-1.0,55.78,46.43,55.7,60.29,56.32,-1.0,-1.0,-1.0,49.83,-1.0,49.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.74,59.57,-1.0,-1.0,-1.0,-1.0,56.5,-1.0,-1.0,-1.0,-1.0,-1.0,55.56,47.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.66,43.59,60.87,-1.0,-1.0,-1.0,51.61,-1.0,-1.0,-1.0,-1.0,57.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.55,-1.0,-1.0,-1.0,-1.0,-1.0,58.06,52.73,-1.0,-1.0,-1.0,-1.0,-1.0,49.04,-1.0,-1.0,-1.0,-1.0,-1.0,53.35,-1.0,55.84,55.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
