date,match_winner,player_red_1,player_red_2,player_red_3,player_red_4,player_red_5,player_blue_1,player_blue_2,player_blue_3,player_blue_4,player_blue_5
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='0rnnlyfanns', tag='6596'), <Champion.VOLIBEAR: 106>, <Lane.TOP: 1>)","(Player(name='Spikee', tag='DOG'), <Champion.NUNU_AND_WILLUMP: 20>, <Lane.JUNGLE: 2>)","(Player(name='Kaaterina', tag='EUNE'), <Champion.LUX: 99>, <Lane.MID: 3>)","(Player(name='big%20step%20bro', tag='1908'), <Champion.EZREAL: 81>, <Lane.ADC: 4>)","(Player(name='beba%20pista%C4%87%20', tag='EUNE'), <Champion.BLITZCRANK: 53>, <Lane.SUPPORT: 5>)","(Player(name='Sadge%20Spider%20Man', tag='EUNE'), <Champion.ORNN: 516>, <Lane.TOP: 1>)","(Player(name='SuperTopGvasilas', tag='1212'), <Champion.JARVAN_IV: 59>, <Lane.JUNGLE: 2>)","(Player(name='ProfessorL', tag='EUNE'), <Champion.ZED: 238>, <Lane.MID: 3>)","(Player(name='LIH%20Lotus', tag='EUNE'), <Champion.TWITCH: 29>, <Lane.ADC: 4>)","(Player(name='cheese', tag='domty'), <Champion.LULU: 117>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.RED,"(Player(name='0rnnlyfanns', tag='6596'), <Champion.REKSAI: 421>, <Lane.TOP: 1>)","(Player(name='Spikee', tag='DOG'), <Champion.NUNU_AND_WILLUMP: 20>, <Lane.JUNGLE: 2>)","(Player(name='kichowi%C4%87', tag='1908'), <Champion.ANNIE: 1>, <Lane.MID: 3>)","(Player(name='broken%20smile', tag='ffpls'), <Champion.KAISA: 145>, <Lane.ADC: 4>)","(Player(name='fNss%20strwbrry', tag='EUNE'), <Champion.NAUTILUS: 111>, <Lane.SUPPORT: 5>)","(Player(name='Aplaya%20was%20here', tag='EUNE'), <Champion.ORNN: 516>, <Lane.TOP: 1>)","(Player(name='Sengiu', tag='EUNE'), <Champion.NOCTURNE: 56>, <Lane.JUNGLE: 2>)","(Player(name='Loose', tag='EUNE'), <Champion.TALIYAH: 163>, <Lane.MID: 3>)","(Player(name='XxxDaLaSxxX', tag='EUNE'), <Champion.BRAND: 63>, <Lane.ADC: 4>)","(Player(name='Amoo%20Mammad', tag='EUNE'), <Champion.PANTHEON: 80>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='0rnnlyfanns', tag='6596'), <Champion.VOLIBEAR: 106>, <Lane.TOP: 1>)","(Player(name='ShaclowneD', tag='EUNE'), <Champion.SHACO: 35>, <Lane.JUNGLE: 2>)","(Player(name='lazaritoburito', tag='EUNE'), <Champion.KATARINA: 55>, <Lane.MID: 3>)","(Player(name='Jocoo11a', tag='EUNE'), <Champion.JINX: 222>, <Lane.ADC: 4>)","(Player(name='%ED%94%8C%EB%A1%9C%EB%A6%AC%EC%95%88', tag='6694'), <Champion.NAMI: 267>, <Lane.SUPPORT: 5>)","(Player(name='KC%20Airlines', tag='KONIK'), <Champion.AATROX: 266>, <Lane.TOP: 1>)","(Player(name='johnfot', tag='EUNE'), <Champion.KAYN: 141>, <Lane.JUNGLE: 2>)","(Player(name='K0PF', tag='EUNE'), <Champion.ORIANNA: 61>, <Lane.MID: 3>)","(Player(name='LCS%20Feeder', tag='EUNE'), <Champion.HEIMERDINGER: 74>, <Lane.ADC: 4>)","(Player(name='LyndonmPl', tag='EUNE'), <Champion.BLITZCRANK: 53>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='0rnnlyfanns', tag='6596'), <Champion.VOLIBEAR: 106>, <Lane.TOP: 1>)","(Player(name='Spikee', tag='DOG'), <Champion.HECARIM: 120>, <Lane.JUNGLE: 2>)","(Player(name='Akada', tag='Numb1'), <Champion.ZOE: 142>, <Lane.MID: 3>)","(Player(name='Marquis%20Of%20Snake', tag='VALAK'), <Champion.LUCIAN: 236>, <Lane.ADC: 4>)","(Player(name='Natsume', tag='EUNE'), <Champion.SENNA: 235>, <Lane.SUPPORT: 5>)","(Player(name='Sindbad', tag='EUNE'), <Champion.VEIGAR: 45>, <Lane.TOP: 1>)","(Player(name='KYRIAKOCC', tag='EUNE'), <Champion.NOCTURNE: 56>, <Lane.JUNGLE: 2>)","(Player(name='xdJonsnowxd', tag='EUNE'), <Champion.GAREN: 86>, <Lane.MID: 3>)","(Player(name='dafiveco', tag='EUNE'), <Champion.KAISA: 145>, <Lane.ADC: 4>)","(Player(name='Pizza%20Pityu5', tag='12389'), <Champion.SERAPHINE: 147>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='0rnnlyfanns', tag='6596'), <Champion.ORNN: 516>, <Lane.TOP: 1>)","(Player(name='Skalmarson', tag='EUNE'), <Champion.EKKO: 245>, <Lane.JUNGLE: 2>)","(Player(name='Kambagi', tag='EUNE'), <Champion.ORIANNA: 61>, <Lane.MID: 3>)","(Player(name='Middy', tag='EUNE'), <Champion.VAYNE: 67>, <Lane.ADC: 4>)","(Player(name='pUJA', tag='EUNE'), <Champion.MAOKAI: 57>, <Lane.SUPPORT: 5>)","(Player(name='Coach', tag='Gamer'), <Champion.PANTHEON: 80>, <Lane.TOP: 1>)","(Player(name='ZNK%20Tobi%C3%A4si%C3%ABs', tag='CARTI'), <Champion.JARVAN_IV: 59>, <Lane.JUNGLE: 2>)","(Player(name='T%CE%95ST%203', tag='EUNE'), <Champion.VLADIMIR: 8>, <Lane.MID: 3>)","(Player(name='kapik159951', tag='EUNE'), <Champion.NILAH: 895>, <Lane.ADC: 4>)","(Player(name='WindsDisciple', tag='EUNE'), <Champion.RAKAN: 497>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.RED,"(Player(name='Moisrynsul', tag='EUNE'), <Champion.GALIO: 3>, <Lane.TOP: 1>)","(Player(name='Hesh', tag='2004'), <Champion.EKKO: 245>, <Lane.JUNGLE: 2>)","(Player(name='VladimirLOL', tag='999'), <Champion.VLADIMIR: 8>, <Lane.MID: 3>)","(Player(name='Beczka%20Jakub', tag='EUNE'), <Champion.VAYNE: 67>, <Lane.ADC: 4>)","(Player(name='Mucza', tag='EUNE'), <Champion.TARIC: 44>, <Lane.SUPPORT: 5>)","(Player(name='0rnnlyfanns', tag='6596'), <Champion.ORNN: 516>, <Lane.TOP: 1>)","(Player(name='Mardeway', tag='EUNE'), <Champion.RAMMUS: 33>, <Lane.JUNGLE: 2>)","(Player(name='XYSEMESAPIRAXAPI', tag='PER67'), <Champion.YASUO: 157>, <Lane.MID: 3>)","(Player(name='Mark%20Antony', tag='EUNE'), <Champion.VARUS: 110>, <Lane.ADC: 4>)","(Player(name='Flaszko', tag='41922'), <Champion.NEEKO: 518>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='Happy%20TREX', tag='EUNE'), <Champion.ILLAOI: 420>, <Lane.TOP: 1>)","(Player(name='Achitamura', tag='FLCR'), <Champion.BELVETH: 200>, <Lane.JUNGLE: 2>)","(Player(name='cretu', tag='mob'), <Champion.KATARINA: 55>, <Lane.MID: 3>)","(Player(name='hang3%20z0e', tag='9220'), <Champion.VARUS: 110>, <Lane.ADC: 4>)","(Player(name='Szumar', tag='EUNE'), <Champion.MAOKAI: 57>, <Lane.SUPPORT: 5>)","(Player(name='fleszyk09', tag='EUNE'), <Champion.TAHM_KENCH: 223>, <Lane.TOP: 1>)","(Player(name='slavqka', tag='slv'), <Champion.EVELYNN: 28>, <Lane.JUNGLE: 2>)","(Player(name='Divinum%20EOl', tag='EUNE'), <Champion.KARMA: 43>, <Lane.MID: 3>)","(Player(name='depressed%20rat', tag='777'), <Champion.TWITCH: 29>, <Lane.ADC: 4>)","(Player(name='cute%20Kulek%20mrr', tag='666'), <Champion.YUUMI: 350>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.BLUE,"(Player(name='DivineDeparture', tag='EUNE'), <Champion.CAMILLE: 164>, <Lane.TOP: 1>)","(Player(name='LTU%20Tesak', tag='EUN'), <Champion.KHAZIX: 121>, <Lane.JUNGLE: 2>)","(Player(name='Soul%20of%20W%C4%B1nd', tag='EUNE'), <Champion.HWEI: 910>, <Lane.MID: 3>)","(Player(name='PiterPangoodforc', tag='EUNE'), <Champion.SWAIN: 50>, <Lane.ADC: 4>)","(Player(name='Majkel', tag='XXX'), <Champion.PANTHEON: 80>, <Lane.SUPPORT: 5>)","(Player(name='JuDrus', tag='LTeam'), <Champion.SINGED: 27>, <Lane.TOP: 1>)","(Player(name='The%20Support%20Pimp', tag='1085'), <Champion.KAYN: 141>, <Lane.JUNGLE: 2>)","(Player(name='Venox23', tag='EUNE'), <Champion.VEIGAR: 45>, <Lane.MID: 3>)","(Player(name='depressed%20rat', tag='777'), <Champion.TWITCH: 29>, <Lane.ADC: 4>)","(Player(name='cute%20Kulek%20mrr', tag='666'), <Champion.LULU: 117>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.RED,"(Player(name='Libertasatv', tag='1774'), <Champion.PANTHEON: 80>, <Lane.TOP: 1>)","(Player(name='szkolek', tag='wtf'), <Champion.JAX: 24>, <Lane.JUNGLE: 2>)","(Player(name='OnlySett%20imgay', tag='EUNE'), <Champion.VEIGAR: 45>, <Lane.MID: 3>)","(Player(name='depressed%20rat', tag='777'), <Champion.TWITCH: 29>, <Lane.ADC: 4>)","(Player(name='cute%20Kulek%20mrr', tag='666'), <Champion.YUUMI: 350>, <Lane.SUPPORT: 5>)","(Player(name='summonerTADEJ', tag='EUNE'), <Champion.GNAR: 150>, <Lane.TOP: 1>)","(Player(name='sirius%20', tag='EUNE'), <Champion.KHAZIX: 121>, <Lane.JUNGLE: 2>)","(Player(name='pro%20zed%20by%20rito', tag='EUNE'), <Champion.VLADIMIR: 8>, <Lane.MID: 3>)","(Player(name='Milosz2007', tag='GIRIN'), <Champion.SAMIRA: 360>, <Lane.ADC: 4>)","(Player(name='KatherineBadass', tag='EUNE'), <Champion.KARMA: 43>, <Lane.SUPPORT: 5>)"
27/01/2024 14:27,MatchResult.RED,"(Player(name='IDroppedMyPanth', tag='EUNE'), <Champion.UDYR: 77>, <Lane.TOP: 1>)","(Player(name='Kaneki%20Ken', tag='8707'), <Champion.VIEGO: 234>, <Lane.JUNGLE: 2>)","(Player(name='Straight%20July', tag='EUNE'), <Champion.LUX: 99>, <Lane.MID: 3>)","(Player(name='alherz919', tag='EUNE'), <Champion.VAYNE: 67>, <Lane.ADC: 4>)","(Player(name='Neiia', tag='420'), <Champion.SORAKA: 16>, <Lane.SUPPORT: 5>)","(Player(name='%CE%92ird', tag='EUNE'), <Champion.GWEN: 887>, <Lane.TOP: 1>)","(Player(name='rivrain', tag='00000'), <Champion.RENGAR: 107>, <Lane.JUNGLE: 2>)","(Player(name='WiiShOo', tag='EUNE'), <Champion.VLADIMIR: 8>, <Lane.MID: 3>)","(Player(name='depressed%20rat', tag='777'), <Champion.TWITCH: 29>, <Lane.ADC: 4>)","(Player(name='Axinka', tag='eunee'), <Champion.LULU: 117>, <Lane.SUPPORT: 5>)"
