date,player,overall_win_rate,rank,total_games_played,level,last_twenty_games_kda_ratio,last_twenty_games_kill_participation,preferred_positions,last_twenty_games_win_rate
2024/01/29 00:42:10,"Player(name='Luckybo', tag='EUNE')",0.619,Emerald III,21,584,-1,-1,[],-1
2024/01/29 00:42:13,"Player(name='Doca16', tag='EUNE')",0.573,Diamond IV,82,568,-1,-1,[],-1
2024/01/29 00:42:15,"Player(name='kudilBackeN%20S4', tag='EUNE')",0.512,Emerald IV,43,259,-1,-1,[],-1
2024/01/29 00:42:16,"Player(name='MrAnders', tag='73821')",0.5,Emerald III,24,111,-1,-1,[],-1
2024/01/29 00:42:18,"Player(name='DarekDudekPOLSKA', tag='EUNE')",0.41700000000000004,Emerald IV,12,262,-1,-1,[],-1
2024/01/29 00:42:20,"Player(name='Kaffeen', tag='EUNE')",0.696,Emerald III,23,647,-1,-1,[],-1
2024/01/29 00:42:22,"Player(name='ESfom', tag='EUNE')",0.625,Emerald III,16,525,-1,-1,[],-1
2024/01/29 00:42:24,"Player(name='Jakamadafaka', tag='EUNE')",0.609,Emerald I,46,469,-1,-1,[],-1
2024/01/29 00:42:27,"Player(name='PogromcY', tag='EUNE')",0.5710000000000001,Emerald II,63,647,-1,-1,[],-1
2024/01/29 00:42:29,"Player(name='ApostleOfMyrkul', tag='BG3')",0.519,Platinum I,129,404,-1,-1,[],-1
2024/01/29 00:42:32,"Player(name='Emba', tag='EUNE1')",0.612,Diamond I,103,39,-1,-1,[],-1
2024/01/29 00:42:34,"Player(name='hateful%20desire', tag='622')",0.8,Platinum I,5,34,-1,-1,[],-1
2024/01/29 00:42:36,"Player(name='wariat%20z%20maerska', tag='MRSK')",0.5329999999999999,Emerald I,135,642,-1,-1,[],-1
2024/01/29 00:42:39,"Player(name='Foxkox7', tag='EUNE')",0.6459999999999999,Emerald III,48,289,-1,-1,[],-1
2024/01/29 00:42:42,"Player(name='Cinnamon%20Cookie', tag='EUNE')",0.722,Emerald I,36,938,-1,-1,[],-1
2024/01/29 00:42:44,"Player(name='Levivagyok', tag='EUNE')",0.516,Emerald IV,221,454,-1,-1,[],-1
2024/01/29 00:42:47,"Player(name='Kattbabe', tag='EUNE')",0.5710000000000001,Emerald II,28,221,-1,-1,[],-1
2024/01/29 00:42:49,"Player(name='SyverBoy', tag='EUNE')",0.552,Emerald IV,29,216,-1,-1,[],-1
2024/01/29 00:42:52,"Player(name='Teippaaja%20Pro', tag='EUNE')",0.462,Emerald IV,26,292,-1,-1,[],-1
2024/01/29 00:42:54,"Player(name='ApostleOfMyrkul', tag='BG3')",0.519,Platinum I,129,404,-1,-1,[],-1
2024/01/29 00:42:56,"Player(name='1311019201', tag='1989')",0.55,Emerald III,111,536,-1,-1,[],-1
2024/01/29 00:42:59,"Player(name='Prodavnica%20snova', tag='EUNE')",0.512,Emerald IV,82,116,-1,-1,[],-1
2024/01/29 00:43:02,"Player(name='MrNobody1', tag='EUNE')",0.46799999999999997,Emerald IV,47,612,-1,-1,[],-1
2024/01/29 00:43:04,"Player(name='RafcioGamerBoy', tag='Beast')",0.42700000000000005,Emerald IV,117,885,-1,-1,[],-1
2024/01/29 00:43:07,"Player(name='Mywo', tag='Mywo')",0.583,Emerald IV,12,342,-1,-1,[],-1
2024/01/29 00:43:10,"Player(name='mentaldis%CF%83rders', tag='EUNE')",0.519,Emerald IV,77,506,-1,-1,[],-1
2024/01/29 00:43:13,"Player(name='ebbi33', tag='EUNE')",0.478,Emerald IV,69,208,-1,-1,[],-1
2024/01/29 00:43:16,"Player(name='ASU%20STUDIO', tag='EUNE')",0.505,Diamond IV,188,513,-1,-1,[],-1
2024/01/29 00:43:18,"Player(name='big%20schmoes', tag='ossi')",0.5710000000000001,Emerald IV,14,236,-1,-1,[],-1
2024/01/29 00:43:21,"Player(name='ApostleOfMyrkul', tag='BG3')",0.519,Platinum I,129,404,-1,-1,[],-1
2024/01/29 00:43:24,"Player(name='The%20Beast%20FIZZ', tag='EUNE')",0.615,Emerald II,26,463,-1,-1,[],-1
2024/01/29 00:43:26,"Player(name='Hi%20Im%20SeKo', tag='EUNE')",0.545,Platinum I,88,535,-1,-1,[],-1
2024/01/29 00:43:29,"Player(name='M%C3%A1gusLajos', tag='EUNE')",0.16699999999999998,Platinum I,6,392,-1,-1,[],-1
2024/01/29 00:43:31,"Player(name='big%20schmoes', tag='ossi')",0.5710000000000001,Emerald IV,14,236,-1,-1,[],-1
2024/01/29 00:43:34,"Player(name='ApostleOfMyrkul', tag='BG3')",0.519,Platinum I,129,404,-1,-1,[],-1
2024/01/29 00:43:37,"Player(name='MICHAELHAMMER', tag='M%C5%81OT')",0.5479999999999999,Emerald III,84,521,-1,-1,[],-1
2024/01/29 00:43:39,"Player(name='Malebro', tag='777')",0.44799999999999995,Emerald III,29,674,-1,-1,[],-1
2024/01/29 00:43:42,"Player(name='Dazza', tag='EUNE')",0.44799999999999995,Emerald III,58,493,-1,-1,[],-1
2024/01/29 00:43:45,"Player(name='kik%C3%BAs', tag='EUNE')",0.444,Emerald IV,27,437,-1,-1,[],-1
2024/01/29 00:43:47,"Player(name='Goltiat', tag='EUNE')",0.5,Emerald III,18,421,-1,-1,[],-1
2024/01/29 00:43:50,"Player(name='Shenrion', tag='EUNE')",0.5,Platinum II,12,380,-1,-1,[],-1
2024/01/29 00:43:53,"Player(name='For%20the%20H%C3%B6rde', tag='EUNE')",0.444,Platinum I,18,274,-1,-1,[],-1
2024/01/29 00:43:56,"Player(name='IX%20CHA%C3%95S', tag='EUNE')",0.47,Emerald IV,100,117,-1,-1,[],-1
2024/01/29 00:43:59,"Player(name='Paulinka%20TFT', tag='META')",0.444,Platinum I,9,403,-1,-1,[],-1
