player,champion,mastery,total_games_played,win_rate,kda_ratio,average_gold_per_minute,average_cs_per_minute
"Player(name='Luckybo', tag='EUNE')",yone,127277,2,1.0,4.625,539.5,8.7
"Player(name='Doca16', tag='EUNE')",viego,115588,17,0.706,3.8667,454.4,6.3
"Player(name='kudilBackeN%20S4', tag='EUNE')",fizz,16101,2,0.5,2.9091,468.7,6.2
"Player(name='MrAnders', tag='73821')",missfortune,1035,1,1.0,5.0,514.4,7.9
"Player(name='DarekDudekPOLSKA', tag='EUNE')",renata,2169,2,0.5,1.9091,276.4,1.6
"Player(name='Kaffeen', tag='EUNE')",shen,46940,1,0.0,1.0,300.8,4.0
"Player(name='ESfom', tag='EUNE')",lillia,102093,1,0.0,0.6364,383.8,6.2
"Player(name='Jakamadafaka', tag='EUNE')",azir,267141,26,0.731,2.8571,431.9,7.0
"Player(name='PogromcY', tag='EUNE')",jhin,26227,1,0.0,1.4286,441.8,7.1
"Player(name='ApostleOfMyrkul', tag='BG3')",zyra,13066,1,0.0,1.8,267.8,1.7
"Player(name='Emba', tag='EUNE1')",kled,6549,9,0.778,2.7246,528.9,7.1
"Player(name='hateful%20desire', tag='622')",sylas,4670,3,1.0,6.14,605.1,5.6
"Player(name='wariat%20z%20maerska', tag='MRSK')",swain,80359,3,1.0,2.8605,375.4,4.8
"Player(name='Foxkox7', tag='EUNE')",caitlyn,196031,4,0.75,1.3448,409.6,7.7
"Player(name='Cinnamon%20Cookie', tag='EUNE')",yuumi,312734,18,0.889,7.1282,301.5,0.3
"Player(name='Levivagyok', tag='EUNE')",gnar,58136,2,0.0,0.9167,318.0,5.4
"Player(name='Kattbabe', tag='EUNE')",brand,7127,1,0.0,0.4286,355.8,5.3
"Player(name='SyverBoy', tag='EUNE')",galio,20638,5,0.4,2.4815,401.5,6.4
"Player(name='Teippaaja%20Pro', tag='EUNE')",ashe,7048,1,0.0,0.0,270.4,5.6
"Player(name='ApostleOfMyrkul', tag='BG3')",janna,23212,12,0.583,5.3704,273.4,1.2
"Player(name='1311019201', tag='1989')",riven,129223,8,0.25,1.3038,390.0,5.8
"Player(name='Prodavnica%20snova', tag='EUNE')",lillia,2815,6,0.33299999999999996,2.4308,408.6,5.5
"Player(name='MrNobody1', tag='EUNE')",fizz,204102,7,0.7140000000000001,3.0465,418.3,5.1
"Player(name='RafcioGamerBoy', tag='Beast')",caitlyn,81952,5,0.2,1.449,419.7,5.9
"Player(name='Mywo', tag='Mywo')",yuumi,175899,3,0.667,6.5758,266.8,0.6
"Player(name='mentaldis%CF%83rders', tag='EUNE')",akali,48571,3,0.33299999999999996,2.2429,420.3,5.9
"Player(name='ebbi33', tag='EUNE')",hecarim,23685,1,1.0,2.0,354.4,6.4
"Player(name='ASU%20STUDIO', tag='EUNE')",twistedfate,2343757,68,0.588,3.4694,534.8,8.1
"Player(name='big%20schmoes', tag='ossi')",mordekaiser,467648,3,0.667,1.973,425.2,7.5
"Player(name='ApostleOfMyrkul', tag='BG3')",sona,5264,2,0.5,5.7143,321.0,1.0
"Player(name='The%20Beast%20FIZZ', tag='EUNE')",drmundo,21861,25,0.64,1.7534,444.7,6.5
"Player(name='Hi%20Im%20SeKo', tag='EUNE')",kayn,39409,5,0.6,1.7,342.1,4.7
"Player(name='M%C3%A1gusLajos', tag='EUNE')",velkoz,407318,5,0.2,1.9355,355.8,5.7
"Player(name='big%20schmoes', tag='ossi')",veigar,343080,2,0.5,1.2143,353.2,6.3
"Player(name='ApostleOfMyrkul', tag='BG3')",janna,23212,12,0.583,5.3704,273.4,1.2
"Player(name='MICHAELHAMMER', tag='M%C5%81OT')",akali,25172,3,0.33299999999999996,1.95,385.0,6.2
"Player(name='Malebro', tag='777')",briar,2377,3,0.667,1.4943,419.5,5.9
"Player(name='Dazza', tag='EUNE')",twistedfate,34885,12,0.583,2.8889,496.8,6.9
"Player(name='kik%C3%BAs', tag='EUNE')",missfortune,28192,1,1.0,9.0,479.1,6.9
"Player(name='Goltiat', tag='EUNE')",senna,43928,1,1.0,8.0,381.9,0.8
"Player(name='Shenrion', tag='EUNE')",shen,77177,1,0.0,1.2222,335.2,4.0
"Player(name='For%20the%20H%C3%B6rde', tag='EUNE')",nocturne,33374,1,0.0,1.375,377.6,5.4
"Player(name='IX%20CHA%C3%95S', tag='EUNE')",yasuo,6036,3,0.0,0.6625,357.9,6.0
"Player(name='Paulinka%20TFT', tag='META')",missfortune,29598,2,0.5,2.8333,469.3,6.8
"Player(name='his%20darling', tag='loml')",zyra,102474,1,0.0,0.8571,250.7,1.2
"Player(name='DLG%20Skibidi', tag='EUNE')",tahmkench,315945,27,0.667,2.8776,412.9,5.6
"Player(name='Kuzal', tag='EUNE')",evelynn,115713,35,0.7140000000000001,3.0328,416.6,4.9
"Player(name='Enryu', tag='219')",twistedfate,17274,23,0.696,3.6667,505.1,6.6
"Player(name='Borek4200', tag='EUNE')",twitch,69129,3,0.33299999999999996,2.0778,432.3,5.4
"Player(name='DLG%20Medusa', tag='EUNE')",teemo,59065,3,0.33299999999999996,2.6269,387.8,3.0
"Player(name='BooByzz', tag='EUNE')",ornn,59738,15,0.467,1.95,421.4,6.5
"Player(name='BlackFireGG', tag='EUNE')",ekko,146431,75,0.613,2.6418,473.9,6.3
"Player(name='Paulinka%20TFT', tag='META')",annie,27901,1,1.0,2.8571,420.9,6.1
"Player(name='Onaj%20sto%20te%20jebo', tag='2806')",lucian,56642,82,0.5,2.3846,471.0,7.8
"Player(name='BarbossaV2', tag='EUNE')",soraka,1033354,48,0.521,2.3889,272.3,0.7
"Player(name='MasterFired', tag='EUNE')",pantheon,602768,28,0.46399999999999997,2.1864,412.9,6.4
"Player(name='Rastt', tag='EUNE')",xinzhao,11960,20,0.5,2.2931,410.9,6.4
"Player(name='Fjutacz', tag='9520')",lux,52499,1,0.0,1.4545,441.9,7.0
"Player(name='acoustic%20player', tag='BBC')",aphelios,310984,10,0.2,1.9344,426.5,8.0
