date,player_name,player_tag
2024/01/19 12:34:22,Bank1ners,EUNE
2024/01/19 12:34:22,%D0%96%D0%B0%D0%BD%D0%BD%D0%B0,mat
2024/01/19 12:34:22,%20Whitest%20Draven%20,EUNE
2024/01/19 12:34:22,Phascolensis,EUNE
2024/01/19 12:34:22,Nekoiak,EUNE
2024/01/19 12:34:22,DuckMains,EUNE
2024/01/19 12:34:22,klikam%20sobie,420
2024/01/19 12:34:22,pepaGourouni12,EUNE
2024/01/19 12:34:22,5PepazDepa5,EUNE
2024/01/19 12:34:22,DerKaizer,Dda
2024/01/19 12:34:22,JavorP,EUNE
2024/01/19 12:34:22,Rostik226,EUNE
2024/01/19 12:34:22,K%C3%A2lu,EUNE
2024/01/19 12:34:22,SilenceSam21,EUNE
2024/01/19 12:34:22,%C4%B1ll%C4%B1ll%C4%B1ll%C4%B1,777
2024/01/19 12:34:22,agbpzj,EUNE
2024/01/19 12:34:22,Makss,2137
2024/01/19 12:34:22,Kentaro%20Miura,EUNE
2024/01/19 12:34:22,dzia%20i3aller,EUNE
2024/01/19 12:34:22,TBF%20Feeder,EUNE
2024/01/19 12:34:22,mallczek,EUNE
2024/01/19 12:34:22,xKnee,EUNE
2024/01/19 12:34:22,BanMyHecarimmm,4105
2024/01/19 12:34:22,Call%20me%20Zogr%C3%A1,EUNE
2024/01/19 12:34:22,XxMilaninwarxX,EUNE
2024/01/19 12:34:22,xLarry,EUNE
2024/01/19 12:34:22,7homi,EUNE
2024/01/19 12:34:22,xYoshiakx,EUNE
2024/01/19 12:34:22,SamiSonUn,EUNE
2024/01/19 12:34:22,JannaPawe%C5%82Drugi,2137
2024/01/19 12:34:22,Abaddon,6061
2024/01/19 12:34:22,Pumped%20Bendi,EUNE
2024/01/19 12:34:22,NeekoIsAmongUs,SUS
2024/01/19 12:34:22,DAWAJ%20ZIO%C5%81O,EUNE
2024/01/19 12:34:22,GanHunter,EUNE
2024/01/19 12:34:22,Diaqu,6969
2024/01/19 12:34:22,KnagaMojzesza,1187
2024/01/19 12:34:22,gosy8,EUNE
2024/01/19 12:34:22,Mirozaur,EUNE
2024/01/19 12:34:22,MAD2K,EUNE
2024/01/19 12:34:22,diwanday%20,EUNE
2024/01/19 12:34:22,slay%20cL,1cui
2024/01/19 12:34:22,sirpavloskis,pleb
2024/01/19 12:34:22,SWGWarriorBG,EUNE
2024/01/19 12:34:22,FAW%20HardCoreDrew,729
2024/01/19 12:34:22,KrajbiTV,EUNE
2024/01/19 12:34:22,Jhin%20Weak,EUNE
2024/01/19 12:34:22,TheFool,foo
2024/01/19 12:34:22,rhewi3,EUNE
2024/01/19 12:34:22,AmazingTometic,EUNE
2024/01/19 12:34:22,Cyb3r%203rr0r,EUNE
2024/01/19 12:34:22,500TeethDinosaur,EUNE
2024/01/19 12:34:22,0J0,EUNE
2024/01/19 12:34:22,yas%C5%AFo,EUNE
2024/01/19 12:34:22,CraZyLuciano,EUNE
2024/01/19 12:34:22,Princess%20Urgot,EUNE
2024/01/19 12:34:22,i%20like%20Aphelios,7684
2024/01/19 12:34:22,sokia,EUNE
2024/01/19 12:34:22,Redix232,EUNE
2024/01/19 12:34:22,Sorpi,EUNE
2024/01/19 12:34:22,O%20BENZINAS,1312
2024/01/19 12:34:22,Thanvis,EUNE
2024/01/19 12:34:22,MAGICZNA%20FLET,21345
2024/01/19 12:34:22,Koyne,EUNE
2024/01/19 12:34:22,el%20mundus,EUNE
2024/01/19 12:34:22,Get%20PJed,HUWDU
2024/01/19 12:34:22,Scaker,EUNE
2024/01/19 12:34:22,Empik%20Enjoyer,EUNE
2024/01/19 12:34:22,Medic22,EUNE
2024/01/19 12:34:22,Smidma%20male,EUNE
2024/01/19 12:34:22,NiceTiger,EUNE
2024/01/19 12:34:22,EI%20Hypsus,EUNE
2024/01/19 12:34:22,MegasTrobarifas,EUNE
2024/01/19 12:34:22,Fum%C3%AE,EUNE
2024/01/19 12:34:22,0xRafi,EUNE
2024/01/19 12:34:22,Dreylard,EUNE
2024/01/19 12:34:22,Vincent,EUNE
2024/01/19 12:34:22,%EB%8B%A4%EB%8B%90%EB%A1%9C%20%ED%8E%98%EB%A0%88%EC%9D%B4%EB%9D%BC,goat
2024/01/19 12:34:22,Yelawcer,EUNE
2024/01/19 12:34:22,EXOspace,MOMMY
2024/01/19 12:34:22,PD%C5%81%20Nikolaaa,0512
2024/01/19 12:34:22,%C5%81ogoo,EUNE
2024/01/19 12:34:22,RotaPidyom,EUNE
2024/01/19 12:34:22,Miracle%20365,EUNE
2024/01/19 12:34:22,RugyzoBimbaj,EUNE
2024/01/19 12:34:22,lulumidyesididit,EUNE
2024/01/19 12:34:22,Xaalo,EUNE
2024/01/19 12:34:22,polski%20chovy,EUNE
2024/01/19 12:34:22,Irelia,Samir
2024/01/19 12:34:22,AnthonyB,EUNE
2024/01/19 12:34:22,piotrjots,EUNE
2024/01/19 12:34:22,Y420Y,EUNE
2024/01/19 12:34:22,c%CF%85rsed%20g%CF%85y,jtcnw
2024/01/19 12:34:22,KennyZeu,1867
2024/01/19 12:34:22,Balikk,EUNE
2024/01/19 12:34:22,Alfa%20Vucica,urMom
2024/01/19 12:34:22,PetrS1206,EUNE
2024/01/19 12:34:22,bretonel1234,EUNE
2024/01/19 12:34:22,HeEma98,EUNE
2024/01/19 12:34:22,NoemiiX,EUNE
2024/01/19 12:34:22,YinKaze,God
2024/01/19 12:34:22,bolko619,EUNE
2024/01/19 12:34:22,DrDoofenshmirtz6,EUNE
2024/01/19 12:34:22,C%C3%BCm%20Explosion,42069
2024/01/19 12:34:22,LupikCze,EUNE
2024/01/19 12:34:22,S%CE%9EB,1337
2024/01/19 12:34:22,nomc,0001
2024/01/19 12:34:22,Deezz%20Nuttss,EUNE
2024/01/19 12:34:22,Complex%20VN,EUNE
2024/01/19 12:34:22,Nejeren,EUNE
2024/01/19 12:34:22,0Z2O,0720
2024/01/19 12:34:22,0papapaouu,EUNE
2024/01/19 12:34:22,LucariOoo,EUNE
2024/01/19 12:34:22,klaneis%20mentes,EUNE
2024/01/19 12:34:22,AngrySpartan,69420
2024/01/19 12:34:22,DemonHunter210,EUNE
2024/01/19 12:34:22,Endiee,EUNE
2024/01/19 12:34:22,Kier%C3%B8wcaLod%C3%B3wki,EUNE
2024/01/19 12:34:22,oKyriosThaSeFaw,EUNE
2024/01/19 12:34:22,Pr%C3%B8xy%20then%20Feed,EUNE
2024/01/19 12:34:22,MrPrezes07l,EUNE
2024/01/19 12:34:22,N4T4N,EUNE
